IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
103.21.244.220,4,4,0.00,156.03,9.75,SJC
141.101.114.63,4,4,0.00,165.10,8.60,SJC
172.64.229.186,4,4,0.00,55.33,7.58,NRT
162.159.62.38,4,4,0.00,168.96,6.91,SJC
141.101.121.46,4,4,0.00,167.93,6.44,SJC
198.41.200.234,4,4,0.00,168.34,5.44,SJC
198.41.207.49,4,4,0.00,166.96,3.23,SJC
162.159.246.81,4,4,0.00,168.68,1.49,LAX
162.159.39.80,4,4,0.00,169.23,0.65,LAX
162.159.50.106,4,4,0.00,167.10,0.00,N/A
104.31.16.115,4,4,0.00,169.42,0.00,N/A
104.21.231.110,4,4,0.00,169.52,0.00,N/A
104.16.41.100,4,4,0.00,169.86,0.00,N/A
198.41.195.177,4,4,0.00,170.22,0.00,N/A
162.159.242.251,4,4,0.00,170.44,0.00,N/A
162.159.213.33,4,4,0.00,170.75,0.00,N/A
104.21.228.163,4,4,0.00,171.10,0.00,N/A
104.19.253.176,4,4,0.00,171.24,0.00,N/A
162.159.195.142,4,4,0.00,172.97,0.00,N/A
162.159.244.153,4,4,0.00,173.14,0.00,N/A
162.159.49.123,4,4,0.00,173.46,0.00,N/A
162.159.243.7,4,4,0.00,173.78,0.00,N/A
104.16.48.0,4,4,0.00,174.13,0.00,N/A
104.16.37.213,4,4,0.00,175.13,0.00,N/A
162.159.11.21,4,4,0.00,175.27,0.00,N/A
104.16.28.84,4,4,0.00,175.43,0.00,N/A
104.16.54.106,4,4,0.00,176.03,0.00,N/A
141.101.115.244,4,4,0.00,176.18,0.00,N/A
162.159.250.100,4,4,0.00,176.68,0.00,N/A
104.21.229.173,4,4,0.00,177.18,0.00,N/A
104.25.88.71,4,4,0.00,177.25,0.00,N/A
162.159.44.242,4,4,0.00,177.37,0.00,N/A
104.16.0.225,4,4,0.00,177.53,0.00,N/A
104.16.7.39,4,4,0.00,177.66,0.00,N/A
162.159.240.143,4,4,0.00,178.19,0.00,N/A
198.41.208.207,4,4,0.00,178.52,0.00,N/A
104.16.35.149,4,4,0.00,179.04,0.00,N/A
